step,x,y,h
32,2.416545802632708e-05,-3.515039102244715e-08,-0.8758837430062205
33,2.473942958988868e-05,-2.2890155746394734e-08,-0.9041134308161156
34,2.528820111070198e-05,-1.4129368002514992e-08,-0.9323421876427974
35,2.581037191992479e-05,-1.053145147018023e-08,-0.9605700565540932
36,2.6305874444120073e-05,-1.2451410578673787e-08,-0.9887970769132132
37,2.677635280659186e-05,-1.894190358934356e-08,-1.0170232848305127
38,2.7225108933187528e-05,-2.8072675288156984e-08,-1.0452487134582291
39,2.765661604128738e-05,-3.7464553285285426e-08,-1.0734733931922258
40,2.8075707171157795e-05,-4.4891964316890224e-08,-1.1016973518818156
41,2.8486630717520788e-05,-4.880020822881195e-08,-1.129920615099721
42,2.8892203794047654e-05,-4.8615446662742446e-08,-1.1581432064370096
43,2.9293276536531042e-05,-4.478627168026549e-08,-1.1863651477415458
44,2.9688649151126917e-05,-3.856847030698519e-08,-1.2145864592525843
45,3.0075475069071534e-05,-3.1629619961081824e-08,-1.2428071596619743
46,3.0450064267908115e-05,-2.559088522081957e-08,-1.271027266179175
47,3.080890013985036e-05,-2.163048706707197e-08,-1.2992467946524793
48,3.1149626786865224e-05,-2.0246864452132203e-08,-1.3274657597300434
49,3.1471766080974005e-05,-2.1228625585938615e-08,-1.35568417499852
50,3.177698580809967e-05,-2.3818213666464515e-08,-1.3839020530544086
51,3.206884720714023e-05,-2.7003814806576094e-08,-1.412119405521634
52,3.235208646573272e-05,-2.984349542086508e-08,-1.4403362430693567
53,3.263159924567652e-05,-3.1724241415657015e-08,-1.468552575469704
54,3.291137165695341e-05,-3.248536375222873e-08,-1.49676841168535
55,3.319361653291478e-05,-3.238157352197724e-08,-1.5249837599435077
56,3.3478326011918965e-05,-3.1911786026056844e-08,-1.553198627767223
57,3.3630173255891555e-05,-3.158001066602545e-08,-1.5814130083086797
58,3.36497888637607e-05,-3.1675378995706174e-08,-1.6096273375750587
59,3.366722244527643e-05,-3.214246837871412e-08,-1.6378419428521738
60,3.365742609819391e-05,-3.259304383089099e-08,-1.6660567646469828
61,3.3640412079097987e-05,-1.5226568516106076e-07,-1.6943098974383632
62,3.362971703437525e-05,-6.830605658029634e-07,-1.7226241732013534
63,3.360514548444784e-05,-1.475161821539367e-06,-1.7509421947951715
64,3.3570425069987224e-05,-2.3926746185422832e-06,-1.7792532290761778
65,3.3532888834014165e-05,-3.3536929815539786e-06,-1.8075550368947635
66,3.350100261678047e-05,-4.350407091052453e-06,-1.8358479470196976
67,3.3481582160688e-05,-5.443927691305283e-06,-1.8641329760244756
68,3.3477623136457274e-05,-6.736420966053954e-06,-1.8924112128888253
69,3.34874613678378e-05,-8.314734042718067e-06,-1.920683631117027
70,3.350686036230594e-05,-9.865821379361604e-06,-1.9489510507740886
71,3.353205517665002e-05,-1.1301621646076404e-05,-1.9772141412492472
72,3.3558130513776184e-05,-1.2635893687987258e-05,-2.005473452027709
73,3.3579901378554436e-05,-1.3879015338106796e-05,-2.0337294333194627
74,3.359317835051834e-05,-1.5039134545249434e-05,-2.0619824564781495
75,3.35957579891372e-05,-1.612327264090727e-05,-2.090232830347713
76,3.358790996176321e-05,-1.713821986928685e-05,-2.118480814021541
77,3.357228848011752e-05,-1.807443823153975e-05,-2.1467266268558767
78,3.355351648054764e-05,-1.8876836251563422e-05,-2.174970456211259
79,3.3537120394345244e-05,-1.9524551211971708e-05,-2.2032124635036308
80,3.352787574213635e-05,-2.0038888481668365e-05,-2.231452789105024
81,3.3528448893866355e-05,-2.0468345408666693e-05,-2.25969155580719
82,3.3538739012187345e-05,-2.0866850345121997e-05,-2.2879288714854265
83,3.3556058119643445e-05,-2.1272126004758174e-05,-2.316164831387124
84,3.357603310556473e-05,-2.1690417550171482e-05,-2.3443995202014376
85,3.359391630100192e-05,-2.2091404535537283e-05,-2.3726330137919964
86,3.360590253376053e-05,-2.241384084752361e-05,-2.400865380446923
87,3.361008464243027e-05,-2.257937364693261e-05,-2.429096681709471
88,3.360681394384792e-05,-2.2509946216084094e-05,-2.457326973045806
89,3.3598418681860455e-05,-2.214364961908789e-05,-2.485556304573198
90,3.358826081610701e-05,-2.1600197184830086e-05,-2.5137847220526783
91,3.357906358591507e-05,-2.1077101765124876e-05,-2.5420122670165277
92,3.357275308228235e-05,-2.057615974877294e-05,-2.570238977506631
93,3.357045544997926e-05,-2.0098514504704916e-05,-2.5984648884580057
94,3.3572285668597254e-05,-1.9644086033618943e-05,-2.6266900318672857
95,3.357739717614064e-05,-1.9211294820840507e-05,-2.654914437060756
96,3.358426196634112e-05,-1.8797163472650435e-05,-2.6831381309892124
97,3.359109467906786e-05,-1.8397781349228343e-05,-2.711361138511845
98,3.359630391375627e-05,-1.800902697822107e-05,-2.739583482614274
99,3.359885541792231e-05,-1.7627376284294328e-05,-2.7678051845439215
100,3.359846277769397e-05,-1.7250598957612084e-05,-2.796026263900775
101,3.359557206421232e-05,-1.6878168096036063e-05,-2.824246738740919
102,3.359116305716612e-05,-1.651127497171872e-05,-2.852466625718885
103,3.358643603772193e-05,-1.6152435778562694e-05,-2.880685940243561
104,3.358247789080191e-05,-1.580477734082223e-05,-2.9089046966007652
105,3.357999900314537e-05,-1.5471169283270495e-05,-2.937122908019595
106,3.3579205366533944e-05,-1.5153410748197369e-05,-2.96534058670415
107,3.35798272566375e-05,-1.485166964476423e-05,-2.9935577438730685
108,3.358127974273798e-05,-1.4564313509935174e-05,-3.0217743898292326
109,3.358289421129017e-05,-1.4288177203585157e-05,-3.049990534043987
110,3.358414386677806e-05,-1.4019206622164552e-05,-3.0782061852225344
111,3.3584793547509e-05,-1.3753325500640151e-05,-3.106421351334484
112,3.358493203990816e-05,-1.3487316872793433e-05,-3.13463603962572
113,3.358488383299999e-05,-1.337360752605759e-05,3.120334977207966
114,3.3585039575699086e-05,-1.3364132030679376e-05,3.0921205641438934
115,3.35856614781842e-05,-1.3354379911544133e-05,3.06390585526174
116,3.3586738707670466e-05,-1.3387474666874016e-05,3.0356909998804977
117,3.423375463633711e-05,-1.3376036624191336e-05,3.0073965459397
118,3.565019303938798e-05,-1.3380199594600671e-05,2.9790790929555366
119,3.7652802258694615e-05,-1.3406360672281263e-05,2.9507634184970275
120,4.0037362844442666e-05,-1.3453470207854096e-05,2.9224559696778
121,4.242042359423344e-05,-1.351276609093291e-05,2.8941577025222878
122,4.45664816947349e-05,-1.3568750706291787e-05,2.865867943067058
123,4.6510264939401764e-05,-1.3606050381196466e-05,2.8375856255680754
124,4.8285693328804114e-05,-1.361428879629904e-05,2.809309703720431
125,4.9921198035466374e-05,-1.359041578341598e-05,2.7810392677414417
126,5.1438231582739873e-05,-1.3539244909937701e-05,2.752773559590058
127,5.2851323130041956e-05,-1.3472117612147273e-05,2.7245119570401637
128,5.4169170722176755e-05,-1.3404050244587351e-05,2.696253951174835
129,5.5396498389288684e-05,-1.3350075419633108e-05,2.6679991248879413
130,5.653634580513585e-05,-1.3321668512988893e-05,2.6397471339698177
131,5.759234565925422e-05,-1.3324111235079204e-05,2.6114976910624255
132,5.857049959621665e-05,-1.3355399444097646e-05,2.5832505529766094
133,5.948003893297284e-05,-1.3406915687411723e-05,2.5550055117338024
134,6.033315065841968e-05,-1.3465655763914228e-05,2.526762388780449
135,6.114362012360323e-05,-1.3517429550470793e-05,2.4985210308595622
136,6.192472085947233e-05,-1.3550238150197958e-05,2.470281305979316
137,6.268689360531926e-05,-1.3557011640572416e-05,2.4420430989672552
138,6.343583944825141e-05,-1.3537073146921353e-05,2.4138063073796197
139,6.417157616457588e-05,-1.3496025206106986e-05,2.385570838918048
140,6.488878355094694e-05,-1.3444147712053274e-05,2.3573366106608487
141,6.557844360475547e-05,-1.3393754223684584e-05,2.3291035491486656
142,6.623044389833334e-05,-1.3356188203619202e-05,2.300871589878812
143,6.683654457082529e-05,-1.3339199253148134e-05,2.2726406755433888
144,6.739298378375514e-05,-1.3345313778926555e-05,2.244410753694717
145,6.790205202124971e-05,-1.3371543055667081e-05,2.2161817752022004
146,6.836346349041671e-05,-1.3410423084712062e-05,2.1879536942409046
147,6.874454959167672e-05,-1.3451979018079383e-05,2.1597264692865266
148,6.906630189854987e-05,-1.3486252937454236e-05,2.131500063885148
149,6.940714929861348e-05,-1.3505867868907665e-05,2.103274445832641
150,6.984431017619291e-05,-1.3507695059575965e-05,2.075049585369532
151,7.03089722081578e-05,-1.349305302556986e-05,2.046825453899769
152,7.078320622992665e-05,-1.3466834447137594e-05,2.0186020241045997
153,7.125612978784608e-05,-1.343614841785502e-05,1.9903792706627361
154,7.171347758463668e-05,-1.3408410644366121e-05,1.9621571711703762
155,7.214114239756732e-05,-1.3389520006880851e-05,1.9339357060224038
156,7.252875889790342e-05,-1.3382589232903025e-05,1.9057148573413136
157,7.28509663060155e-05,-1.338750089321691e-05,1.8774946078493775
158,7.303476902771398e-05,-1.3401296971452967e-05,1.849274940600462
159,7.303548037832254e-05,-1.3419281570849217e-05,1.8210558396524978
160,7.284764723215112e-05,-1.3436502603701792e-05,1.7928372908374985
161,7.250592330278018e-05,-1.3449103412898575e-05,1.7646192818537991
162,7.216580225117533e-05,-1.3455195475135733e-05,1.736401801596215
163,7.186728377135813e-05,-1.3455047415536342e-05,1.7081848394542254
164,7.160893639819285e-05,-1.3450559964334445e-05,1.6799683850717475
165,7.138163700854574e-05,-1.344437498637592e-05,1.6517524287857157
166,7.117058765056833e-05,-1.3438880831598463e-05,1.6235369620621756
167,7.095871633222662e-05,-1.3435428961356783e-05,1.5953219774832958
168,7.073064832721118e-05,-1.3434000511931184e-05,1.567107468329285
169,7.0739722191793e-05,-1.3433407200094412e-05,1.5388931875544813
170,7.071448606784609e-05,-1.3431929773943901e-05,1.5106786487799464
171,7.069259817623468e-05,-1.3428168161159887e-05,1.482463858048891
172,7.066864444185342e-05,-1.3155978632272008e-05,1.4542186658779996
173,7.060810650383063e-05,-1.1830685306315144e-05,1.4259089424648979
174,7.058076071004605e-05,-9.636354826947774e-06,1.3975900618357606
175,7.060046529404953e-05,-6.948699760783127e-06,1.3692768221056915
176,7.066451466169067e-05,-4.402259081942624e-06,1.340972667894462
177,7.07550300880336e-05,-2.1252520993017485e-06,1.3126776274319376
178,7.084765417180361e-05,-1.338414706609133e-07,1.2843907534193781
179,7.09182296820094e-05,1.6974228779349036e-06,1.256110940564914
180,7.094935868758171e-05,3.406345481623333e-06,1.227837172662153
181,7.093309137997193e-05,4.9889745340552386e-06,1.1995685907723006
182,7.087288296811222e-05,6.466687124336191e-06,1.1713044885494779
183,7.078262219472016e-05,7.852561466463038e-06,1.143044291077053
184,7.068309607467671e-05,9.152337251880966e-06,1.114787528524945
185,7.059689843516436e-05,1.0366559995188696e-05,1.0865338123601227
186,7.054303251416938e-05,1.1493571946140117e-05,1.0582828174945307
187,7.053250519639063e-05,1.2532754763020729e-05,1.0300342706536851
188,7.056594189516433e-05,1.348728994392286e-05,1.0017879425161271
189,7.063373861096164e-05,1.4365751282963355e-05,0.9735436403934153
190,7.071864192605505e-05,1.518192484786691e-05,0.9453011999640272
191,7.080006482470055e-05,1.5953724906262534e-05,0.9170604773067801
192,7.085905187188672e-05,1.6699384168481986e-05,0.8888213436986084
193,7.088267177492517e-05,1.7434306101592942e-05,0.8605836842601624
194,7.086681371475886e-05,1.8167836930402132e-05,0.8323473987653618
195,7.081677222349539e-05,1.890123792782586e-05,0.8041124015057338
196,7.074556955466545e-05,1.962753364866525e-05,0.7758786183569042
197,7.067051481174831e-05,2.0333361887222734e-05,0.7476459821154438
198,7.060890666436586e-05,2.1002478892699113e-05,0.7194144290680344
199,7.05739554578049e-05,2.1620127808829546e-05,0.691183898877789
200,7.057189806300699e-05,2.2177216219353553e-05,0.6629543370269095
201,7.060094110188962e-05,2.2673245652984318e-05,0.6347256968759899
202,7.065218886199148e-05,2.3117203509360262e-05,0.6064979388980043
203,7.071221702230632e-05,2.352610822536446e-05,0.5782710273433341
204,7.076656684427938e-05,2.3921476751816306e-05,0.550044926988554
205,7.080324870774768e-05,2.4324515565409903e-05,0.521819602532415
206,7.081539588944592e-05,2.47511854438587e-05,0.49359502077292866
207,7.080247436648148e-05,2.5208361562653796e-05,0.46537115322374056
208,7.076985404457489e-05,2.569207739934975e-05,0.4371479765685217
209,7.072697204011824e-05,2.6188353121101056e-05,0.4089254704582108
210,7.068465876091962e-05,2.667648209252241e-05,0.38070361460008695
211,7.065236944953524e-05,2.7134036615959584e-05,0.35248238762264206
212,7.063603237638995e-05,2.754240979560923e-05,0.3242617684482531
213,7.063700997277922e-05,2.789154958193821e-05,0.2960417386096564
214,7.065233821163555e-05,2.818270989052158e-05,0.26782228324459334
215,7.067605736109093e-05,2.84285069665635e-05,0.2396033899215525
216,7.07011698425203e-05,2.865021727517949e-05,0.21138504651317166
217,7.072162931192147e-05,2.8872928442349312e-05,0.18316724007935228
218,7.073380691810273e-05,2.911969017344813e-05,0.15494995757489907
219,7.073707458995822e-05,2.9406072927155274e-05,0.12673318741186912
220,7.073342856859306e-05,2.9736460422356065e-05,0.09851692023665155
221,7.072636421965559e-05,3.010299387355181e-05,0.0703011482565969
222,7.071942237611131e-05,3.0487448483588667e-05,0.04208586395897315
223,7.071490039521721e-05,3.0865611119723406e-05,0.013871059564452544
224,7.071314093683314e-05,3.108032663140596e-05,-0.01434327396051475
225,7.071261056413627e-05,3.111726234587852e-05,-0.042557649653881716
226,7.071070730241184e-05,3.1105609320477125e-05,-0.07077231758875
227,7.07050119987835e-05,3.110288613208706e-05,-0.09898714536152019
228,7.024348953452953e-05,3.100711734630345e-05,-0.12727037561766116
229,6.90493313844896e-05,3.0908608472146654e-05,-0.15558747781032597
230,6.722779135554286e-05,3.083812367806834e-05,-0.18390544402793557
231,6.51227510003024e-05,3.081716922436844e-05,-0.21221558431456153
232,6.319138324270302e-05,3.085108907159565e-05,-0.2405163233677828
233,6.184397341696536e-05,3.092761826825006e-05,-0.2688082096479867
234,6.13037456574835e-05,3.102123735945149e-05,-0.2970923248492214
235,6.153276377401649e-05,3.110172840162657e-05,-0.3253697661764532
236,6.22458860050102e-05,3.114399498905416e-05,-0.3536414942077154
237,6.300441680960477e-05,3.1135907409179716e-05,-0.38190830937157055
238,6.335520204949403e-05,3.108172042934446e-05,-0.41017086958504895
239,6.296791977642293e-05,3.100016323696841e-05,-0.43842971451815227
240,6.183248012751778e-05,3.0917899569902654e-05,-0.4666852863860385
241,6.065912275365991e-05,3.085808318851536e-05,-0.49493794671682184
242,5.957270318378513e-05,3.083361760914785e-05,-0.5231879921721219
243,5.857069843574555e-05,3.084852274279604e-05,-0.5514356750519696
244,5.7674525741803855e-05,3.08975585558059e-05,-0.5796812115145449
245,5.703232835925017e-05,3.096708129366451e-05,-0.6079247884138119
246,5.6684051247139515e-05,3.103826252281416e-05,-0.6361665659176947
247,5.651611381487048e-05,3.109274723606354e-05,-0.6644066806809575
248,5.6299120915763375e-05,3.111791582917178e-05,-0.6926452504781341
249,5.575653302054452e-05,3.11101401345156e-05,-0.7208823798789646
250,5.501808314006643e-05,3.10745653905e-05,-0.7491181643728705
251,5.429249392148286e-05,3.1021071739334376e-05,-0.7773526890764396
252,5.358859837346297e-05,3.096267774697981e-05,-0.8055860302411941
253,5.291789734889763e-05,3.0912897375917374e-05,-0.8338182547818277
254,5.2291328814982036e-05,3.0882525834243e-05,-0.8620494213157455
255,5.171604878349083e-05,3.0877240037050115e-05,-0.8902795826875202
256,5.11930384141218e-05,3.0896552262546184e-05,-0.9185087883537019
257,5.0716174079874505e-05,3.093429835903089e-05,-0.9467370851296285
258,5.0273055810940286e-05,3.098045677052681e-05,-0.9749645161993566
259,4.984745864503116e-05,3.1023778652648975e-05,-1.0031911197821728
260,4.942285793590254e-05,3.1054538468950246e-05,-1.0314169290577266
261,4.898618962075565e-05,3.106672481531383e-05,-1.059641973711999
262,4.853091770890612e-05,3.105917138613782e-05,-1.0878662819470866
263,4.8058622874282005e-05,3.103542384344689e-05,-1.116089881393606
264,4.757866932273534e-05,3.100246858907322e-05,-1.1443127983976664
265,4.710597149315543e-05,3.096872768230845e-05,-1.1725350566183768
266,4.665735425105935e-05,3.094188163576584e-05,-1.2007566764090658
267,4.624736176360991e-05,3.0927084507804946e-05,-1.2289776756269977
268,4.588452808290959e-05,3.0925991748433485e-05,-1.2571980711625912
269,4.556903239324253e-05,3.09367768648904e-05,-1.2854178798733258
270,4.529234116265455e-05,3.095503875131715e-05,-1.3136371182497442
271,4.503896323406688e-05,3.097527251246069e-05,-1.3418558013429787
272,4.4789927680958765e-05,3.0992451961817083e-05,-1.3700739420875772
273,4.452716555140959e-05,3.1003279597848374e-05,-1.3982915516524999
274,4.423774294110062e-05,3.1006790065529134e-05,-1.4265086404199707
275,4.391691484763443e-05,3.100420285621413e-05,-1.4547252186525987
276,4.356924463940117e-05,3.0998145947342404e-05,-1.48294129632712
277,4.320749774046768e-05,3.099154891031712e-05,-1.511156882484861
278,4.284955769989614e-05,3.0986582816634015e-05,-1.5393719848715552
279,4.251409605242284e-05,3.0983985964895745e-05,-1.5675866102334788
280,4.248087375304081e-05,3.098297449357298e-05,-1.5958008697001054
281,4.248693197285155e-05,3.098174084484632e-05,-1.6240153294133883
282,4.2524361387485016e-05,3.0978346109272794e-05,-1.6522300740488618
283,4.2554609629711654e-05,3.097169144107758e-05,-1.6804449399098331
284,4.2636738612308376e-05,3.092381657038778e-05,-1.708746601382076
285,4.270963729828721e-05,3.082856425508996e-05,-1.737065267255646
286,4.275637279979194e-05,3.084477037982835e-05,-1.7653803806970383
287,4.276858410412558e-05,3.124253041564534e-05,-1.7936867974624227
288,4.2749049597751755e-05,3.2308166546731724e-05,-1.821983982734578
289,4.271047297061876e-05,3.420508242135645e-05,-1.850272748278537
290,4.2667693398042946e-05,3.6147233295421614e-05,-1.8785541978525644
291,4.262953983036115e-05,3.79156790976127e-05,-1.9068293637728995
292,4.260314146332684e-05,3.953302062477695e-05,-1.9350991432566675
293,4.259304137024148e-05,4.101783060645119e-05,-1.9633642793635266
294,4.26001082002583e-05,4.2385950328148696e-05,-1.99162537986093
295,4.262135578152573e-05,4.365170756192823e-05,-2.0198829412824457
296,4.26506945080939e-05,4.482868123526854e-05,-2.0481373712877873
297,4.2680412671551924e-05,4.5929883148633515e-05,-2.0763890073853504
298,4.270301437920377e-05,4.6967406107188086e-05,-2.1046381317420924
299,4.271296356875153e-05,4.7951726327859804e-05,-2.1328849824482234
300,4.270791763477517e-05,4.889093417247584e-05,-2.161129761972513
301,4.2689168465362703e-05,4.979018468060576e-05,-2.189372643700076
302,4.2661208090011785e-05,5.065160205976541e-05,-2.2176137772819575
303,4.2630550145029836e-05,5.1474751836278e-05,-2.245853293121023
304,4.2604114260887644e-05,5.225763915122827e-05,-2.274091305955873
305,4.258757609857563e-05,5.299804074727883e-05,-2.302327917444615
306,4.258408008967764e-05,5.369487149741489e-05,-2.3305632178944937
307,4.2593609496626235e-05,5.4349253913413655e-05,-2.3587972875570955
308,4.261313431926037e-05,5.4960923360539846e-05,-2.387030197926223
309,4.2637383830181464e-05,5.549350061615617e-05,-2.4152620131644227
310,4.266008990610697e-05,5.592405545173337e-05,-2.4434927913607707
311,4.267568589131871e-05,5.627410463962688e-05,-2.471722585551223
312,4.2680756219816155e-05,5.6594440538850124e-05,-2.499951444071447
313,4.26747836525805e-05,5.694341909970829e-05,-2.5281794106594524
314,4.2660057811346674e-05,5.736524416762721e-05,-2.5564065247981715
315,4.264084419421434e-05,5.786389298393382e-05,-2.5846328224418103
316,4.262202116641177e-05,5.8360166372515e-05,-2.6128583367844214
317,4.260780394842647e-05,5.8834127028638055e-05,-2.6410830985747764
318,4.260093856868661e-05,5.9246513786248885e-05,-2.6693071363534737
319,4.260208822065989e-05,5.9519706265641684e-05,-2.6975304762287178
320,4.260984721182435e-05,5.958565150596856e-05,-2.725753141925161
321,4.262133536752652e-05,5.939808995926796e-05,-2.753975155159319
322,4.2633115605692814e-05,5.899853283726421e-05,-2.7821965361600154
323,4.264232434074802e-05,5.8604754231564306e-05,-2.8104173038421605
324,4.2647272054107405e-05,5.8232610567345524e-05,-2.8386374757244424
325,4.264752311330215e-05,5.7884907847256826e-05,-2.8668570679945744
326,4.2643833820231514e-05,5.756122219786764e-05,-2.895076095440886
327,4.263779186563352e-05,5.725781127430354e-05,-2.9232945716153775
328,4.263127845220075e-05,5.696833433181937e-05,-2.9515125090723955
329,4.2625919952194534e-05,5.668521787276218e-05,-2.9797299195269056
330,4.2622684773412405e-05,5.640134354409982e-05,-3.007946813861953
331,4.262172664577023e-05,5.611165207952532e-05,-3.0361632020581952
332,4.262249547895179e-05,5.581427289694916e-05,-3.064379093176301
333,4.262405546110404e-05,5.551090071597634e-05,-3.0925944954482585
334,4.262549090573804e-05,5.520632159002927e-05,-3.120809416412534
335,4.2626260051899876e-05,5.494894948525193e-05,3.1341614441960353
336,4.262638074048906e-05,5.492482292326833e-05,3.105947146871772
337,4.262638767804902e-05,5.491287467155756e-05,3.077732588795253
338,4.262708631936275e-05,5.492953334791382e-05,3.049517778689541
339,4.2508386632670575e-05,5.495895966901788e-05,3.0212688169923787
340,4.1963514622399624e-05,5.4990086790939e-05,2.9929574100186764
341,4.109113370212059e-05,5.5031530263298476e-05,2.9646394622900742
342,3.994335457362717e-05,5.507671903556569e-05,2.936327689784138
343,3.850592225756313e-05,5.5117953011057325e-05,2.908024967368681
344,3.6701795725782134e-05,5.514893117200331e-05,2.879731174229084
345,3.465527465291416e-05,5.516618820250213e-05,2.8514453509793665
346,3.279451818285594e-05,5.516600861145672e-05,2.82316641940441
347,3.109035823996439e-05,5.514687836559145e-05,2.794893399931915
348,2.9519398967514204e-05,5.5112080422211313e-05,2.7666254608766505
349,2.806417324009538e-05,5.5068771159510044e-05,2.738361916512782
350,2.6712246258814824e-05,5.502616231255948e-05,2.7101022059113076
351,2.5454801605832477e-05,5.499326136955692e-05,2.681845869818771
352,2.428500645767425e-05,5.4976718413176845e-05,2.6535925299783454
353,2.319644982453288e-05,5.49792905153311e-05,2.6253418719705133
354,2.2181945129607406e-05,5.499927515515837e-05,2.5970936316896513
355,2.1232930485623074e-05,5.5031022673207294e-05,2.568847585185174
356,2.0339578560713487e-05,5.506637510001106e-05,2.540603541210558
357,1.94915652532228e-05,5.509665948662434e-05,2.5123613355426198
358,1.8679282745113332e-05,5.511474074717135e-05,2.4841208262307797
359,1.7895162143102114e-05,5.511663968958365e-05,2.455881889409848
360,1.713472957705011e-05,5.51023428923326e-05,2.4276444158193584
361,1.6397073281743845e-05,5.507563923118131e-05,2.399408308312304
362,1.5684539439248503e-05,5.504305945879535e-05,2.371173480328177
363,1.500166919665027e-05,5.501220976704939e-05,2.342939854873855
364,1.4353590161160294e-05,5.4989925820699935e-05,2.3147073634371855
365,1.3744230725989701e-05,5.498069963760548e-05,2.2864759445938225
366,1.3174792339611783e-05,5.498574555181505e-05,2.258245542568408
367,1.2642872206077545e-05,5.5002898923391276e-05,2.230016106228425
368,1.2142483163285663e-05,5.5027328542500355e-05,2.201787588730469
369,1.1665002074998059e-05,5.505284543754686e-05,2.173559947553661
370,1.1200845484009221e-05,5.507345583707249e-05,2.145333144396326
371,1.0741480480397603e-05,5.5084765330695767e-05,2.117107144618977
372,1.0281279883016278e-05,5.508490060967248e-05,2.088881916393394
373,9.818752289573523e-06,5.5074754814363575e-05,2.060657430024362
374,9.356817827826328e-06,5.5057543096380976e-05,2.0324336577751563
375,8.90202781247061e-06,5.5037828515423506e-05,2.0042105740923195
376,8.462886261499576e-06,5.502030085345694e-05,1.9759881558009937
377,8.047658877270405e-06,5.5008633634719976e-05,1.947766381919958
378,7.662192734862616e-06,5.500470099283723e-05,1.919545233133714
379,7.308280768023592e-06,5.500832225804869e-05,1.8913246912840074
380,6.982983585428288e-06,5.501755211044126e-05,1.8631047392132003
381,6.679094613089474e-06,5.502938964369232e-05,1.8348853609593192
382,6.3866573093258995e-06,5.504067889165611e-05,1.8066665419967056
383,6.095183274513914e-06,5.5048940868641114e-05,1.7784482692175096
384,5.796042254860339e-06,5.505291780637286e-05,1.7502305306291452
385,5.484444755038383e-06,5.5052708680783796e-05,1.7220133150149144
386,5.160529474829338e-06,5.5049500744987e-05,1.6937966118143373
387,4.82928034284701e-06,5.5045017834742484e-05,1.6655804112443044
388,4.499280429789904e-06,5.504088014198965e-05,1.6373647044544262
389,4.180593555957474e-06,5.503808260676853e-05,1.6091494835116749
390,3.882279106476397e-06,5.5036749025572563e-05,1.5809347412159462
391,3.7425305785560423e-06,5.503622285622253e-05,1.5527204305090447
392,3.758186323382837e-06,5.50354482976058e-05,1.5245060323159703
393,3.7863711714255265e-06,5.503349224454617e-05,1.4962913405714784
394,3.7863292215989705e-06,5.503002909362312e-05,1.4680764976912104
395,3.828096661056683e-06,5.4641300047136965e-05,1.4397864603418022
396,3.853451132421751e-06,5.38026388095117e-05,1.4114689450003068
397,3.852430910108271e-06,5.269104049205858e-05,1.3831521458888363
398,3.823611302651904e-06,5.153130689697769e-05,1.3548434384965518
399,3.7744168441356806e-06,5.051394153331965e-05,1.3265440328321658
400,3.7185318606285976e-06,4.972656705488637e-05,1.2982532997875191
401,3.6713297645660474e-06,4.912147299119463e-05,1.2699701630040015
402,3.6448800333190196e-06,4.8528849281316016e-05,1.2416935507495297
403,3.6441787044149932e-06,4.7709541029063056e-05,1.2134225274406845
404,3.6657808831528512e-06,4.642830179511521e-05,1.1851563144470558
405,3.700689116737954e-06,4.5016745394962466e-05,1.156894271456693
